id,title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia,sourceReferenceImages,sourceVideos
543,Cinematic Crane Shot Video Prompt,"A detailed, multi-cut prompt designed for image-to-video generation, describing a romantic scene involving a couple and a glowing castle in the mist, utilizing specific camera movements like a wide crane shot, slow push-in, and whip-pan.","Cut 1 (2s): Wide crane shot from behind the couple, castle glowing in the misty night. Wind moves their cloaks. 
Cut 2 (2s): Slow push-in close-up on their interlocked hands, subtle tremble. 
Cut 3 (2s): Whip-pan to castle towers as shadows move behind lit",https://x.com/airina_xyz/status/2024825092690035135,2026-02-20T12:34:56.000Z,"{""name"":""AIrina (Virtual Media Net)"",""link"":""https://x.com/airina_xyz""}",[],[],"[{""id"":""699948b34d83820004b47dfd"",""url"":""https://video.twimg.com/amplify_video/2024824424424230912/vid/avc1/1280x720/M14Diht-eO9evfD_.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2024824424424230912/img/g3OA-k2G_Xukn01I.jpg"",""caption"":null},{""id"":""699948b34d83820004b47dfe"",""url"":""https://video.twimg.com/amplify_video/2024824770995294208/vid/avc1/1280x716/wFpKB0YuYhsv5LIB.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2024824770995294208/img/WF90Nq-njPfaHWB4.jpg"",""caption"":null}]"
542,Valentine's Day Themed Text,"This tweet contains a short, romantic text snippet, possibly intended as a prompt for a text-based generation model or as a caption, featuring a date range and a French phrase for 'I love you,' along with a heart emoji.","20 de febrero del 2025 ㅤ⊹ㅤ 20 de febrero del 2026 ❞ㅤㅤ
 ᅠ ⠀ ㅤㅤㅤㅤㅤ𝖩𝖾 𝗍'𝖺𝗂𝗆𝖾. 💌",https://x.com/eclatsang/status/2025079422152298796,2026-02-21T05:25:33.000Z,"{""name"":""˚ ᅠ 𝐂𝐚𝐬𝐞𝐲 ֶָ֢ ͏ 𖤍ᅠᅠ"",""link"":""https://x.com/eclatsang""}","[""https://pbs.twimg.com/media/HBqHAEOW8AAC2pu.jpg"",""https://pbs.twimg.com/media/HBqHAK0WwAAt5m2.jpg""]",[],[]
541,Recursive Horror Jump-Scare Prompt,"An extremely long and detailed prompt for Seedance 2.0 designed to create a psychological horror scene with a recursive loop effect, focusing on first-person POV, VHS aesthetic, and mounting dread rather than a cheap jump scare. The prompt specifies camera movements, sound design, and the appearance of a translucent ghost in security footage that mirrors reality.","""First-person POV video, dimly lit abandoned room in an old house at night, 1990s aesthetic, viewer (the protagonist) kneels in front of a dusty wooden dresser with a hidden drawer half-pulled open, camera hands reach in and pull out a worn, unlabeled black VHS tape covered in faint scratches and cobwebs, close-up on the tape as fingers brush off dust revealing a handwritten label in faded marker reading something cryptic like ""WATCH ALONE"", camera shakes slightly with nervous breathing audible, cut to inserting the tape into an ancient top-loading VCR on a low TV stand, static snow flickers on the bulky CRT television screen as the machine whirs and clicks to life, tracking lines roll vertically before stabilizing into grainy black-and-white security camera footage timestamped in the corner (e.g., 03:17 AM, date obscured), the footage shows the exact same room from a high corner-mounted camera angle—wide shot including the dresser, the TV, the spot where the viewer is currently sitting/kneeling, and crucially, the back of the protagonist's own head and shoulders as he watches the screen in real time, the recursive loop creates an eerie infinite mirror effect, camera (POV) slowly tilts and leans forward in confusion, breathing quickens, then subtle movement in the footage draws attention: a tall, translucent, humanoid silhouette—pale gray-white, vaguely female or androgynous with elongated limbs and indistinct features—materializes silently standing right beside the seated protagonist in the video, inches from his shoulder, unmoving at first, head tilted downward as if staring at the back of his neck, faint static distortion pulses around its form like bad reception, the POV hands in real life freeze on the remote, camera jerks back in shock as realization hits that the ghost is standing in the exact same position now, just off-frame to the right in the current reality, the on-screen ghost slowly raises one ethereal hand as if to touch the protagonist's shoulder, screen glitches harder with horizontal tearing and audio warble, POV whips around frantically to look beside himself—room empty in real life but the TV footage now shows the ghost's hand almost making contact, building dread as the footage loops the moment endlessly, ash-like video noise thickens, low electronic hum rises, photorealistic with heavy VHS degradation—tracking errors, color bleed, scan lines, chromatic aberration, muted greens and grays clashing with the warm amber glow of the CRT illuminating the protagonist's stunned face reflected in the glass, continuous handheld tremor, mounting terror through recursive impossibility, sense of being watched from both past and present, no jump scares but unrelenting psychological unease.""",https://x.com/zsakib_/status/2024876704561557714,2026-02-20T16:00:01.000Z,"{""name"":""Sakib"",""link"":""https://x.com/zsakib_""}",[],[],"[{""id"":""699948b14d83820004b47dfc"",""url"":""https://video.twimg.com/amplify_video/2024852708897734656/vid/avc1/1280x720/TK5Z0pvWsrx94fzb.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2024852708897734656/img/MDRVB45bNQqbGJPl.jpg"",""caption"":null}]"
540,Chinese New Year 'Instant Wealth' Animation,"A 15-second vertical video prompt for Seedance 2.0, generating a warm, cinematic scene where a girl in a Qipao interacts with a golden, translucent horse spirit that leaps out of a graffiti wall, celebrating the Chinese New Year and wishing for instant wealth.","9:16竖屏，电影质感暖色调， 画面（0-2秒）：【参考图】为首帧，穿红色旗袍的黑发女生站在涂鸦墙前，对着镜头微微歪头，身后墙上画着骑马的卡通女孩和""马上暴富2026""字样 台词1（女生，俏皮开心）：""嘿！2026马年到啦！"" 画面（3-6秒）：墙上涂鸦里的卡通小马突然抖动，整匹马从墙面剥离出来变成金色半透明的光影马，嘶鸣一声跃下墙面，女生惊喜地侧身让开，旗袍裙摆被带起的风微微飘动 台词2（女生，惊喜夸张）：""哎哟！马真的来了！"" 画面（7-11秒）：金光马绕着女生小跑一圈，马蹄踏过的地面溅起金色粒子和红色烟花碎屑，女生开心地跟着马转了一圈，伸手去摸但手穿过了光影 台词3（女生，兴奋）：""祝大家马到成功！马上暴富！"" 画面（12-15秒）：金光马一跃跳回墙面变回涂鸦，墙上的""马上暴富""文字闪烁变得更亮更金，女生转回面对镜头，双手合十鞠了一躬，然后笑着比了个大大的心 台词4（女生，温暖真诚）：""新年快乐，爱你们哟～"" 音效：马蹄嗒嗒声、烟花噼啪声、金色粒子的叮叮声 时长：精准15秒 禁止：任何字幕或水印",https://x.com/msjiaozhu/status/2025041768719561102,2026-02-21T02:55:55.000Z,"{""name"":""MapleShaw"",""link"":""https://x.com/msjiaozhu""}",[],[],"[{""id"":""699948b04d83820004b47dfb"",""url"":""https://video.twimg.com/amplify_video/2025041647038595074/vid/avc1/720x1280/568bpRlzjtwHjVsH.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2025041647038595074/img/x0gMrrtnN0ulXAOL.jpg"",""caption"":null}]"
539,Transformer Transformation Cinematic Sequence,"A detailed, four-scene cinematic prompt designed for Seedance 2.0 to generate a complex transformation sequence of a muscle car into a giant mechanical titan, focusing on dynamic camera work, detailed mechanical actions, and an apocalyptic aesthetic. This prompt is structured with specific time stamps for each scene.","分镜 1：动力重组：车尾裂变 (0-4s)
动作： Close-up tracking shot. A dusty muscle car accelerates. Suddenly, the rear chassis violently splits, expanding into gigantic hydraulic mechanical legs. The rear tires reconfigure into jagged metal heels. These legs slam onto the bridge deck, crushing the asphalt with a massive sense of weight. Blue sparks and white smoke erupt from the friction. High-frequency vibration, 8K photorealistic.

分镜 2：躯干扩张：钢铁脊梁 (4-8s)
动作：The transformation ripples forward. The car’s roof and hood fold and stack into a massive mechanical torso and armored shoulders. The interior of the car deconstructs, exposing a glowing power core. The titan stands nearly 15 meters tall, its metal spine extending and locking with a loud mechanical clank. Handheld shaky cam, low angle looking up at the growing giant.

分镜 3：正面武装：胸口炮仓 (8-12s)
动作：Extreme close-up on the chest armor plates. The heavy plating slides open in a complex clockwork sequence, revealing a colossal kinetic energy cannon nestled in the torso. Blue plasma arcs dance around the rifled barrel. The surrounding air begins to shimmer from intense thermal energy. The camera captures the intricate clicking of locking mechanisms.

分镜 4：终极裁决：毁灭一击 (12-15s)
动作：The cannon fires a devastating, blinding cyan energy beam directly from the chest. The massive recoil forces the titan to dig its metal claws into the bridge. The beam pierces through abandoned vehicles, causing them to melt and explode instantly. A shockwave ripples through the air, shattering remaining glass. Epic cinematic wide shot, masterwork, apocalyptic aesthetic.",https://x.com/zlb2017/status/2024858145546555522,2026-02-20T14:46:16.000Z,"{""name"":""nft0755.milady 发财"",""link"":""https://x.com/zlb2017""}",[],[],"[{""id"":""699948af4d83820004b47dfa"",""url"":""https://video.twimg.com/amplify_video/2024857779798933504/vid/avc1/1472x632/5NzElKZQdfqSztRw.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2024857779798933504/img/fKQ4CTiV1MVV-7H4.jpg"",""caption"":null}]"
538,Nine-Panel Grid Interactive Animation,"A complex, 12-second prompt for Seedance 2.0 to animate a nine-panel grid composition where the characters in each panel start interacting, pushing, and distorting the grid lines, transitioning from static poses to chaotic, cross-panel activity.",【图片1】为首帧画面，12秒，3:4竖屏。 九宫格画面中九个女孩各自静止在自己的格子里。 第1-3秒：所有格子里的女孩开始微微活动，各自保持表情特征。突然左上角自拍格的女孩发现自己被困在格子里，用手推了推格子边框，表情从自信变成疑惑； 第4-7秒：她用力拍了一下右边的格子边框，这一拍的震动传递过去，中上格微笑的女孩被震得晃了一下，不满地看向左边。与此同时，左下角吐舌头的女孩从自己格子底部伸出一只手，越过边框线探进了正下方正中间大笑格的领地，从大笑女孩的画面下方冒出来挠了一下她的下巴，大笑格的女孩笑得更厉害了； 第8-12秒：场面彻底混乱，多个格子之间开始互动——右上角惊讶脸被右边格子里伸过来的手拍了一下肩膀吓得更惊讶了，中间嫌弃脸对着旁边伸过来的手一脸嫌弃地躲开，最后所有人都在跨格子互动推搡打闹，格子边框线被挤得歪歪扭扭变形。 全程九宫格构图，但格子边框会被互动动作推挤变形。禁止：任何文字、字幕、LOGO或水印。,https://x.com/msjiaozhu/status/2024700816251297831,2026-02-20T04:21:06.000Z,"{""name"":""MapleShaw"",""link"":""https://x.com/msjiaozhu""}",[],[],"[{""id"":""699948ae4d83820004b47df9"",""url"":""https://video.twimg.com/amplify_video/2024700744906280961/vid/avc1/834x1112/_rA-R0WAF3ukpGxq.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2024700744906280961/img/RJlJMHvrFpuzPEs4.jpg"",""caption"":null}]"
537,Cinematic War Footage Style Guide (Part 1),"The first part of a detailed style guide for generating cinematic, realistic war footage set in a modern Middle Eastern desert village, focusing on color palette, lighting, and atmosphere.","Universal Style Guidelines (Applicable to All Clips)
Cinematic realist war footage, set in a modern Middle Eastern desert village; dominant color palette of earthy yellow and taupe; harsh sunlight with high-contrast shadows; sand and gunsmoke lingering in the air;",https://x.com/DAZ376957278814/status/2024785027385655664,2026-02-20T09:55:43.000Z,"{""name"":""G-Hope"",""link"":""https://x.com/DAZ376957278814""}",[],[],"[{""id"":""699948ad4d83820004b47df8"",""url"":""https://video.twimg.com/amplify_video/2024783695228661760/vid/avc1/1280x720/ElJdtLyKiHQQqCC4.mp4?tag=14"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2024783695228661760/img/cKq-_XlUtGSj48Fk.jpg"",""caption"":null}]"
536,Midjourney Style Reference for Minimalist Pink & Black Fashion Aesthetic,"This is a Midjourney prompt utilizing a specific style reference code (sref 2331967092) to generate images with a minimalist pink and black fashion aesthetic, including parameters for style weight, stylization, and version 7.",Minimalist Pink & Black Fashion Aesthetic. --sref 2331967092 --sw 500 --stylize 500 --v 7,https://x.com/SrefCodeAi/status/2024886720932839867,2026-02-20T16:39:49.000Z,"{""name"":""Sref Code"",""link"":""https://x.com/SrefCodeAi""}","[""https://pbs.twimg.com/media/HBnXu4FbgAENE8S.jpg""]","[""https://pbs.twimg.com/media/HBnXu4FbgAENE8S.jpg""]",[]
535,Shot Horror Sequence (Kling 3.0),"A detailed, multi-shot prompt for generating a 13-second POV horror sequence set in an abandoned hallway, featuring a rocking horse that multiplies and a final jump scare with a distorted wooden mask. This prompt is explicitly for Kling 3.0, not Seedance 2.0, but is included as a complex video generation example.","A 13-second POV horror sequence set in a desolate, abandoned institutional hallway with grimy, peeling walls covered in faded graffiti. The scene is shot through a fisheye lens, lit only by a stuttering, weak flashlight beam.
In the center of the corridor, a weathered wooden rocking horse with chipped white paint sits alone. Suddenly, it begins to rock—slowly at first, then with violent, bone-creaking intensity, its hollow thuds echoing against the concrete.
After a rapid jump-cut through total darkness, the flashlight flickers back on to reveal the entire hallway now packed with dozens of identical rocking horses, all perfectly aligned and swaying in a sinister, synchronized rhythm. The collective sound of wood hitting the floor creates a deafening, heartbeat-like roar.
The sequence ends with a visceral jump scare: a giant, distorted wooden mask with a maniacal, carved grin and viscous black liquid pouring from its hollow eye sockets lunges directly into the lens, its face filling the frame as the audio peaks into a distorted screech.",https://x.com/IqraSaifiii/status/2024773067856351317,2026-02-20T09:08:12.000Z,"{""name"":""Iqra Saifi"",""link"":""https://x.com/IqraSaifiii""}",[],[],"[{""id"":""699948aa4d83820004b47df7"",""url"":""https://video.twimg.com/amplify_video/2024772985211764737/vid/avc1/3840x2160/tmmPs8O6pYa82g2o.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2024772985211764737/img/tSfuw8FkoOCne2u6.jpg"",""caption"":null}]"
534,Anime Girl Parkour Escape in Neon Night City,"A detailed prompt for generating a dynamic video sequence featuring an anime girl performing parkour to escape black agents across neon-lit city rooftops, emphasizing cel-shading, low-angle tracking, and realistic physics.","Anime girl parkour escape: rooftop flips between skyscrapers, wind-swept ponytail, pursued by black agents, neon night city, cel-shading, dynamic low-angle tracking, realistic jumps/physics.",https://x.com/HoneyAnimeX07/status/2024781627184800215,2026-02-20T09:42:13.000Z,"{""name"":""HoneyAnimeX"",""link"":""https://x.com/HoneyAnimeX07""}",[],[],"[{""id"":""699948a94d83820004b47df6"",""url"":""https://video.twimg.com/ext_tw_video/2024778255929077761/pu/vid/avc1/1280x720/S3ixGlY71ERQRaC4.mp4?tag=12"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/2024778255929077761/pu/img/1qWp817oXbGVo1vp.jpg"",""caption"":null}]"
